age,gender,minority,tenure,evaluation,students
63,Female,No,Tenured,3.9050432155173325,175
53,Male,No,Tenured,4.748802272188922,76
39,Male,No,Untenured,3.9922231436401807,78
32,Female,No,Tenured,3.6269633373755674,43
45,Female,No,Tenured,3.482023010208056,172
63,Male,No,Untenured,3.9579525981014343,188
43,Male,No,Tenured,3.20201537137694,30
47,Female,No,Untenured,3.4799228633626242,146
35,Female,No,Untenured,4.617227060743634,83
35,Female,No,Untenured,4.529305522860494,147
48,Male,No,Tenured,3.9486351413841168,32
60,Male,No,Tenured,3.8137340914981817,173
64,Male,Yes,Untenured,4.023403560922738,41
48,Male,No,Tenured,4.939198771380129,103
27,Male,No,Untenured,4.16199020350821,45
46,Male,Yes,Untenured,4.363895269983927,131
26,Female,No,Untenured,3.9190169896673797,181
48,Male,No,Tenured,4.024358642846864,185
54,Male,Yes,Tenured,4.258865078714818,146
62,Male,Yes,Untenured,4.050437931129611,37
26,Female,No,Tenured,3.241049207004537,151
45,Male,No,Tenured,4.512216304670986,121
57,Male,Yes,Tenured,3.753946528891468,193
36,Female,No,Untenured,4.844527056646501,119
46,Male,No,Untenured,4.274739405106389,165
49,Male,Yes,Tenured,4.028388966255898,89
51,Male,No,Tenured,4.1757308560413735,57
52,Male,No,Untenured,3.9566008445745946,130
40,Male,No,Untenured,3.805426893579056,70
39,Female,No,Tenured,4.083039304514288,184
27,Female,No,Tenured,4.353996186874666,174
61,Female,Yes,Untenured,3.8141881005420126,190
31,Male,No,Untenured,3.7511051340374886,186
45,Male,No,Untenured,3.8578045436334563,170
33,Male,Yes,Untenured,4.380804437538678,75
63,Female,Yes,Tenured,4.581020098984949,64
42,Male,No,Tenured,4.144805564776989,163
28,Male,No,Untenured,4.23252565361429,111
49,Female,Yes,Untenured,3.748119657093955,144
38,Male,No,Untenured,4.35070185998093,76
33,Female,Yes,Untenured,4.22069480418603,182
50,Female,No,Tenured,3.7159488168290062,39
26,Female,Yes,Tenured,3.284931355227287,85
44,Male,No,Untenured,3.511771958287258,59
52,Male,No,Untenured,3.732318908727515,138
31,Male,No,Untenured,4.46477492709871,34
32,Male,Yes,Untenured,4.62114391033573,148
59,Male,No,Untenured,3.8241928498102893,62
38,Male,Yes,Tenured,3.836833858891482,147
41,Male,No,Tenured,4.1046492223889866,94
60,Female,No,Tenured,4.00485860362929,175
64,Male,No,Tenured,4.372373633589632,40
28,Female,No,Tenured,3.790724762565156,114
26,Male,No,Tenured,4.379657195112399,55
30,Male,No,Tenured,3.904310080852098,92
28,Male,No,Tenured,4.341589884427142,115
53,Female,Yes,Tenured,3.891583815084583,88
42,Female,Yes,Tenured,3.7547621268366487,56
50,Female,No,Tenured,4.764927055935988,190
58,Female,No,Untenured,4.426090833018767,127
34,Male,No,Tenured,3.2831819599459138,134
60,Female,No,Tenured,3.821290595284037,128
38,Male,No,Tenured,4.48196916871143,158
55,Male,No,Untenured,3.5213358123145913,178
39,Female,No,Tenured,4.3082713318092445,84
32,Female,No,Untenured,4.266822441387917,35
38,Female,No,Tenured,3.720341368763233,124
47,Female,No,Tenured,3.9964731815016767,162
64,Female,Yes,Tenured,3.163992900547888,131
45,Female,Yes,Tenured,4.708172606626688,32
40,Female,No,Untenured,3.876362996321231,52
42,Female,No,Untenured,4.3215252205505035,82
48,Male,Yes,Untenured,4.24553653659017,194
50,Female,Yes,Tenured,4.543152315239995,112
49,Female,No,Tenured,3.826678637238976,174
53,Male,Yes,Untenured,4.081529091010987,114
39,Female,Yes,Tenured,4.223643681045811,107
25,Male,No,Tenured,4.349016636572192,139
49,Male,No,Tenured,4.461741735363569,30
31,Female,No,Tenured,3.8090473077698714,80
33,Male,Yes,Untenured,3.734309022678231,33
48,Male,No,Untenured,4.5440445464992685,142
25,Male,Yes,Untenured,3.1851696260111444,61
32,Male,No,Tenured,4.628012912217069,63
48,Female,No,Tenured,3.8790703031694767,121
35,Male,No,Tenured,3.9981748684038814,124
41,Female,No,Tenured,3.7270629595519384,101
32,Male,No,Tenured,3.980721805785675,68
59,Male,No,Untenured,4.508455290392366,183
59,Male,Yes,Untenured,4.3083452405856155,191
57,Male,No,Tenured,4.197074593520162,147
29,Female,No,Untenured,4.035549202452698,32
63,Female,Yes,Untenured,3.421756011011167,152
52,Male,No,Tenured,3.662345234592904,79
31,Male,No,Untenured,3.862719505347533,41
33,Female,No,Tenured,4.183070581771536,83
32,Male,No,Tenured,4.027861065807552,162
36,Male,No,Tenured,4.393401722543386,86
58,Male,No,Untenured,4.189450955091026,174
57,Female,No,Tenured,4.0217402311754284,141
